chat_id,n_turns,a_hat_full,a_hat_t5,delta_t5,a_hat_t8,delta_t8,a_hat_t10,delta_t10,a_hat_t12,delta_t12,a_hat_t15,delta_t15,a_hat_t20,delta_t20,a_hat_t25,delta_t25,a_hat_t30,delta_t30,a_hat_t40,delta_t40,a_hat_t50,delta_t50,first_stable_t,mal_mean
c0051,17,0.6375425678258134,0.874999998758012,0.23745743093219862,0.8787315721213006,0.24118900429548717,0.7829155415905765,0.1453729737647631,0.7496843164855915,0.1121417486597781,0.69697759576743,0.05943502794161659,,,,,,,,,,,15.0,0.0
c0052,25,0.31999915614469965,0.874999998758012,0.5550008426133124,0.6904489174582432,0.37044976131354357,0.5940874808164283,0.2740883246717286,0.5395852283123649,0.21958607216766524,0.4664948851216309,0.14649572897693125,0.36832371128458824,0.04832455513988859,0.31999915614469965,0.0,,,,,,,20.0,0.5185185185185185
c0053,40,0.22573182883720613,0.874999998758012,0.6492681699208059,0.6944010690725076,0.46866924023530154,0.6252748460503333,0.39954301721312724,0.5571105583236925,0.3313787294864864,0.4986236372445527,0.2728918084073466,0.3889163732365231,0.16318454439931698,0.3157824320936557,0.09005060325644956,0.2714951700718048,0.04576334123459866,0.22573182883720613,0.0,,,25.0,0.375
c0054,19,0.2920002847900518,0.7781527994311014,0.4861525146410496,0.5770305613102873,0.2850302765202355,0.6014187589965143,0.3094184742064625,0.5585781179641764,0.26657783317412465,0.40944497814304703,0.11744469335299523,,,,,,,,,,,,0.1304347826086956
c0055,37,0.2429740356664579,0.874999998758012,0.6320259630915541,0.7163445689417789,0.47337053327532097,0.6219358536111078,0.3789618179446499,0.5502633754463413,0.3072893397798834,0.4886363845479434,0.2456623488814855,0.38905415051622677,0.14608011484976888,0.3298985871798856,0.08692455151342773,0.2817611041221684,0.03878706845571053,,,,,25.0,0.6486486486486487
c0056,53,0.24684828559282077,0.874999998758012,0.6281517131651912,0.6917451205915278,0.444896834998707,0.5932191410718373,0.34637085547901647,0.5439545934470242,0.29710630785420344,0.48352582067808914,0.23667753508526837,0.4222707686881468,0.17542248309532602,0.39325296590817377,0.146404680315353,0.3516414185385024,0.10479313294568163,0.2819283678505477,0.035080082257726936,0.25626080051966316,0.009412514926842391,40.0,0.0
c0057,78,0.19850851329462077,0.874999998758012,0.6764914854633912,0.8047078319795485,0.6061993186849277,0.6936379633244094,0.49512945002978864,0.5940277524980452,0.3955192392034244,0.4802770399111093,0.28176852661648855,0.3938880426892074,0.19537952939458664,0.3593182315111312,0.1608097182165104,0.34491389470420325,0.14640538140958248,0.3168193225325824,0.11831080923796161,0.2671489405434668,0.068640427248846,50.0,0.7564102564102564
c0058,46,0.24480905266276054,0.874999998758012,0.6301909460952515,0.7384121453571614,0.49360309269440084,0.636150647064722,0.3913415944019615,0.5592220609168401,0.3144130082540796,0.4572919096774485,0.21248285701468794,0.40692520924026004,0.1621161565774995,0.39718948434748863,0.1523804316847281,0.3591470154608253,0.11433796279806474,0.28565205722561005,0.040843004562849505,,,40.0,0.0
c0059,32,0.3570233108930975,0.874999998758012,0.5179766878649146,0.7253967851879167,0.3683734742948192,0.6248129321653534,0.26778962127225586,0.5714829122105598,0.21445960131746228,0.5257827494923754,0.16875943859927783,0.48418473372487075,0.12716142283177323,0.4362556104975277,0.07923229960443018,0.3771473559059704,0.020124045012872904,,,,,25.0,0.0
c0060,21,0.20519215440241256,0.5692097328663449,0.36401757846393235,0.4429073265399224,0.2377151721375098,0.37588587498173526,0.1706937205793227,0.3235040306087846,0.11831187620637201,0.24623227207613407,0.04104011767372151,0.20796039133565322,0.0027682369332406587,,,,,,,,,15.0,0.0
c0061,219,0.04246166970688779,0.7859781214058433,0.7435164516989555,0.5819401529610587,0.5394784832541709,0.5210491696978669,0.47858749999097905,0.4613463495564805,0.4188846798495927,0.41335394313677354,0.37089227342988573,0.31663137904075855,0.27416970933387075,0.2646044956726487,0.2221428259657609,0.22675213087207194,0.18429046116518416,0.1781932098589451,0.1357315401520573,0.14758965710636876,0.10512798739948097,,0.3821138211382114
c0062,214,0.03979181872734349,0.7874996587813998,0.7477078400540563,0.6893726530905496,0.6495808343632061,0.6719259226111082,0.6321341038837647,0.6855059196087093,0.6457141008813658,0.6624866804648236,0.6226948617374801,0.5573945686683299,0.5176027499409864,0.4837713301493146,0.4439795114219711,0.41759673147944937,0.37780491275210587,0.28898884881595366,0.24919703008861016,0.2467165498808498,0.2069247311535063,,0.0
c0063,175,0.09092309241252097,0.874999998758012,0.7840769063454911,0.6898426451928639,0.5989195527803429,0.622203439184539,0.5312803467720181,0.5520746318571869,0.4611515394446659,0.48417461482786284,0.3932515224153419,0.3979461767473184,0.3070230843347974,0.339543818568117,0.24862072615559602,0.31685335577789986,0.22593026336537889,0.281223773719278,0.190300681306757,0.24264229768929543,0.15171920527677446,,0.0722222222222222
c0064,19,0.41353888522223076,0.874999998758012,0.4614611135357813,0.8488602922092832,0.4353214069870524,0.6881514390363592,0.27461255381412847,0.5739286911004369,0.16038980587820612,0.5094351676660019,0.09589628244377119,,,,,,,,,,,15.0,0.0
c0065,70,0.11545831436073016,0.7650561153990214,0.6495978010382912,0.5907676966085497,0.4753093822478195,0.553368047892378,0.43790973353164786,0.4998718383616631,0.3844135240009329,0.42515590626664324,0.30969759190591306,0.3297227360526674,0.2142644216919372,0.26134921931390437,0.1458909049531742,0.22438800511059126,0.1089296907498611,0.17402774884104835,0.05856943448031819,0.14164738998500387,0.02618907562427371,40.0,0.5
c0066,59,0.25627714007016444,0.874999998758012,0.6187228586878476,0.7127006854209227,0.45642354535075824,0.6213700761662831,0.3650929360961187,0.5541223680552448,0.2978452279850804,0.509837955765471,0.25356081569530653,0.46039186960938183,0.2041147295392174,0.41748594187408455,0.1612088018039201,0.3688549499288898,0.11257780985872534,0.31085345476369336,0.054576314693528916,0.2664998799327728,0.010222739862608354,40.0,0.0
c0067,97,0.12286295907404332,0.874999998758012,0.7521370396839687,0.6922312704493009,0.5693683113752576,0.602855046502956,0.47999208742891264,0.5622150095008533,0.43935205042681,0.5134727736315815,0.3906098145575382,0.44387295345763716,0.32100999438359384,0.36431101216480405,0.24144805309076073,0.3105094342064302,0.18764647513238686,0.24371808383040702,0.1208551247563637,0.19711077108265487,0.07424781200861155,50.0,0.2755102040816326
c0068,181,0.04548669473727631,0.5003982543355121,0.4549115595982358,0.37387669607826907,0.3283900013409928,0.3059656964257194,0.2604790016884431,0.2872113901951438,0.24172469545786748,0.2533560641721638,0.20786936943488746,0.2123670571808632,0.1668803624435869,0.18634119769388754,0.14085450295661123,0.1668318138141071,0.12134511907683079,0.13824740405129632,0.09276070931402,0.1169312442645762,0.0714445495272999,40.0,0.0
c0069,19,0.5651482205053073,0.874999998758012,0.3098517782527047,0.8399347585800033,0.274786538074696,0.7380249396464379,0.17287671914113056,0.6869704011046207,0.12182218059931338,0.6855655192558069,0.12041729875049956,,,,,,,,,,,,0.0
c0070,507,0.03469930601875758,0.874999998758012,0.8403006927392545,0.7380279344740097,0.7033286284552521,0.6196457282408738,0.5849464222221162,0.5474336614318187,0.5127343554130611,0.5093011762781863,0.4746018702594287,0.42772405968581245,0.39302475366705486,0.3861545813994263,0.35145527538066873,0.3528235441915886,0.31812423817283103,0.29887588474677707,0.2641765787280195,0.2463057043912662,0.2116063983725086,,0.3184357541899441
c0071,26,0.34291529683973065,0.874999998758012,0.5320847019182814,0.7325980838830867,0.389682787043356,0.665777170925078,0.3228618740853474,0.5993475946526533,0.25643229781292265,0.5084870121762918,0.16557171533656112,0.43604888737424635,0.0931335905345157,0.35484815570423267,0.011932858864502016,,,,,,,20.0,0.0
c0072,79,0.13447505121909137,0.874999998758012,0.7405249475389206,0.7405092887968622,0.6060342375777708,0.664648161696137,0.5301731104770457,0.5958070295963177,0.46133197837722634,0.4817840608105855,0.34730900959149413,0.36354261040777885,0.2290675591886875,0.31971291306082655,0.18523786184173519,0.2765887875509607,0.14211373633186936,0.2302551061003337,0.09578005488124233,0.2014582325440898,0.06698318132499842,40.0,0.2839506172839506
c0073,20,0.4365470466295439,0.874999998758012,0.43845295212846813,0.819287838310061,0.3827407916805171,0.6830266798833496,0.24647963325380573,0.5811401984736998,0.1445931518441559,0.5124009887192884,0.0758539420897445,0.4365470466295439,0.0,,,,,,,,,15.0,0.0
c0074,156,0.10010122896410915,0.874999998758012,0.7748987697939029,0.859062016308842,0.7589607873447329,0.758394841478758,0.6582936125146489,0.6328013181889168,0.5327000892248077,0.4981754072622623,0.3980741782981531,0.41910070015783907,0.3189994711937299,0.347629844524891,0.24752861556078182,0.3137458001218979,0.21364457115778873,0.2739191430720583,0.1738179141079491,0.22271476259696266,0.1226135336328535,,0.189873417721519
c0075,41,0.23790727239299583,0.874999998758012,0.6370927263650162,0.7101245060724786,0.47221723367948276,0.6302629053175832,0.3923556329245874,0.5700446225684832,0.3321373501754874,0.5149201949224538,0.27701292252945797,0.4231355721322949,0.18522829973929908,0.3574107759522021,0.11950350355920628,0.31293642588808046,0.07502915349508463,0.24344760147084574,0.005540329077849904,,,30.0,0.0
c0076,71,0.10811954162606911,0.8113356117944982,0.7032160701684291,0.6993780724121772,0.5912585307861081,0.672238133416096,0.5641185917900269,0.5952408971211164,0.48712135549504726,0.5063795793106842,0.3982600376846151,0.3760478584963696,0.2679283168703005,0.2827383804805031,0.17461883885443397,0.23763725685239512,0.129517715226326,0.17570044842904142,0.06758090680297231,0.14614298527935304,0.03802344365328393,40.0,0.12
c0077,23,0.3467374344059125,0.874999998758012,0.5282625643520995,0.7280181231997,0.38128068879378757,0.6526917173561245,0.30595428295021204,0.5593832824959506,0.21264584809003811,0.4452946193837743,0.09855718497786181,0.3740067726528166,0.02726933824690414,,,,,,,,,15.0,0.0
c0078,26,0.3315113215524443,0.874999998758012,0.5434886772055678,0.8254286908390942,0.4939173692866499,0.7237908176242052,0.3922794960717609,0.6742737089114004,0.3427623873589561,0.5688906918971623,0.23737937034471807,0.42697373748911216,0.09546241593666788,0.3366400757867354,0.0051287542342911,,,,,,,20.0,0.0
