PK_Nr,Sortierklasse,A_cm2,sigma_max,E_mod,n_points,a_hat,k_hat,rmse,method,force_col_header,strain_col_header,QC_flag,grade,density_kg_m3,moisture_pct,failure_mode,grain_angle_class,clamping_pressure,grade_m,outlier_ahat
254,s 10,5.071778999999999,55.34509408582276,16.289178100003213,2809,0.5286910734806746,6.167568256527778,0.0696115800740964,sigmoid,Kraft [kN],e_sensor,1,S10,447.47651180308884,11.007073046204658,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S10,0
283,s 10,5.213957,46.39525999639046,12.675705301481212,2369,0.539516454445554,6.694397254048764,0.0764222412086637,sigmoid,Kraft [kN],e_sensor,1,S10,379.4946439383552,10.346225145765068,Zug-/Schubversagen,<7,80 bar,S10,0
288,s 10,5.152064,49.5382242073274,14.461993904003386,3053,0.5347629117290791,6.476152217484528,0.0671832769145663,sigmoid,Kraft [kN],e_sensor,1,S10,394.23697030432874,10.492715252399748,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
297,s 10,5.244993,34.892600488218,11.55913491830068,1813,0.5740345351171552,8.335742253233954,0.0834430149438776,sigmoid,Kraft [kN],e_sensor,1,S10,377.48745858715193,10.257100366011967,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
301,s 10,5.357489,53.36523731079989,14.043546424404685,2926,0.5273957955121532,6.119355350394208,0.0680935369531456,sigmoid,Kraft [kN],e_sensor,1,S10,388.90086881138194,9.699281940555199,Zug-/Schubversagen,<7,80 bar,S10,0
304,s 10,5.102958,32.49061086849039,9.765200679292304,1620,0.5935915760705747,9.632695795923338,0.0884345265791671,sigmoid,Kraft [kN],e_sensor,1,S10,386.59445960899353,10.235881114142686,Zug-/Schubversagen,<7,80 bar,S10,0
307,s 10,5.11498,29.964626801448883,16.11120944565037,1741,0.6085404905208408,9.083531395340849,0.0655195821991692,sigmoid,Kraft [kN],e_sensor,1,S10,362.41326747042774,10.342489084862898,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
322,s 10,5.1291,59.919621467460175,15.4077246881213,3548,0.524098111923622,5.9401272163319785,0.0621497566159838,sigmoid,Kraft [kN],e_sensor,1,S10,387.05856068905456,11.14979100371875,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
326,s 10,5.140176,50.87594824087736,11.950894512886734,2867,0.5343573250772131,6.302459166825315,0.068707273290008,sigmoid,Kraft [kN],e_sensor,1,S10,364.80393863966447,10.798343691136974,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S10,0
331,s 10,5.169288000000001,69.96342508871626,17.251727010460655,3624,0.5160735532844599,5.619544763355274,0.0588134217816959,sigmoid,Kraft [kN],e_sensor,1,S10,426.35147535121314,10.864954867576479,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
