country,year,n_speeches,sv_mean_median,fid_mean_median,nc2_median,E_a_median,cv_sv_median,a_hat_diskurs,k_hat_diskurs,r2_diskurs,cum_damage,polyarchy,drift_rate
SI,2017,250,0.9635535111029943,0.36117016358508003,11.659963130950928,52.7954082603741,0.142972374941913,0.5231012794920287,4.81059679893818,0.98220055591278,19.673140668209633,0.84,-0.015500000000000014
SI,2018,250,0.9794726280065683,0.37369130121337046,12.223920345306396,49.579794255068975,0.14448870037476466,0.5376081825943121,5.085183290878322,0.9887650845749055,20.22079439236467,0.83,-0.013000000000000012
SI,2019,250,0.9689390128850937,0.3718177518910832,12.175651550292969,52.29143785951244,0.14099972220454632,0.5454621454411785,4.731438509193743,0.984506944188293,21.603285526288357,0.814,-0.03899999999999998
SI,2020,250,0.9877138476595919,0.38614551516042817,12.711451530456543,52.12384525872633,0.13896462523536735,0.4910192086313697,5.29106993014746,0.9934038244289739,18.6462330774066,0.752,-0.04949999999999999
SI,2021,250,0.9765712764583716,0.3850058672471601,12.529048919677734,51.510337436776354,0.1422563763144844,0.48526782588140066,5.189903991724629,0.9918134086802608,16.64850522161413,0.715,0.028000000000000025
SI,2022,250,0.976960081855456,0.3716407279173533,11.310792446136475,50.996266429933705,0.14067184406303326,0.5110423507470576,5.292323914205273,0.988759768234937,19.71371951227353,0.808,0.02250000000000002
RS,1998,78,0.9539737135171891,0.35887130824002356,11.397212028503418,55.13993382234732,0.1363475217432309,0.5736122045018585,6.066992326268534,0.9954627442791424,5.778849467886866,0.298,-0.0005000000000000004
RS,2000,40,1.0022083561077262,0.4023493905862172,12.220658779144287,48.92273502890962,0.14513163292113437,0.42223179686523915,5.218639048810042,0.9833647111942574,3.2711720250902854,0.364,0.143
RS,2001,250,0.9750238358974457,0.36849607542307694,11.145848751068115,57.413166217647486,0.13327154090051913,0.4803251560830236,5.436865780734785,0.9920919421057064,18.688664609023608,0.584,0.123
RS,2002,250,0.9599730057513666,0.35623410195112226,11.147737503051758,52.230893773978046,0.1447264812101587,0.48280401202661477,4.591082563752572,0.9827132034310841,18.14124198890071,0.61,0.031000000000000028
RS,2003,250,0.9664031779791555,0.37583433771910874,11.874956130981445,50.05393058414873,0.14632572653048453,0.4687269598139871,5.092087358834445,0.9864848133413352,18.44293824933814,0.646,0.01200000000000001
