sequence,n_events,a_hat,k,R2,max_mag,max_mag_pos,total_energy_log
seq_63,121,0.6421847477079824,10.361894871509408,0.9569834979399757,5.0,0.6833333333333333,12.621808916301314
seq_64,8,0.1271793870171088,27.35069376612671,0.9872005260614166,3.7,0.14285714285714285,10.621549668363144
seq_65,8,0.5702224380073833,7.359144358567202,0.9864307061166679,3.0,0.42857142857142855,9.932037950045904
seq_66,9,0.44739242859603356,71.80002978762018,0.9995100446223333,4.4,0.5,11.423890036347164
seq_67,11,0.7394679880341606,60.026640496450725,0.9928028109461517,3.9,0.8,10.721853788059457
seq_68,8,0.4429905482323831,5.5121511426615095,0.9083989212361897,4.9,0.0,12.160257801572046
seq_69,9,0.46054398530677276,7.960927500942784,0.8620687120838025,5.2,0.625,12.753117012191048
seq_70,67,0.30173493414141167,3.76620161074942,0.9250556148938189,4.6,0.0,11.845979390799352
seq_71,10,0.5320101358685314,4.682319288607369,0.9101635367482774,3.5,0.8888888888888888,10.469703520625181
seq_72,8,0.700813259557716,6.719055739045848,0.8861488777665876,3.56,0.8571428571428571,10.412621913865072
seq_73,14,0.038491160846966556,99.99999999999999,0.9985764771740577,6.7,0.07692307692307693,14.854882501192124
seq_74,9,0.6006586763337762,3.787187773676138,0.858053655935954,4.8,1.0,12.41704721636182
seq_75,15,0.4560747198915116,7.46856763147079,0.9240386026738261,3.9,0.35714285714285715,10.970511558064945
seq_76,20,0.41412027034527055,7.304120469793466,0.9387533683748225,3.6,0.3157894736842105,10.577921695083901
seq_77,51,0.19354944206028024,99.9999999999997,0.8932266153072319,5.0,0.0,12.416406049972242
seq_78,9,0.4779829463178501,6.762256607380719,0.985429153600104,3.2,0.375,10.117064398170251
seq_79,12,0.3303309439717501,88.88947096647428,0.9995876713335923,4.4,0.36363636363636365,11.43457398698738
seq_80,13,0.5860480686588756,3.6318591403281735,0.922328447366985,3.1,1.0,9.971519060652486
seq_81,99,0.705921350869432,7.327180189905124,0.9114611675304889,4.6,0.7448979591836735,12.150683736449409
seq_82,8,0.5661896410244629,9.386371794545882,0.9156912052332363,3.8,0.7142857142857143,10.693515746222406
seq_83,8,0.3212378624826137,6.611301688453615,0.9621317537059445,3.6,0.2857142857142857,10.717071566406736
seq_84,8,0.3564184977216245,16.488160259925078,0.9911569228966428,5.0,0.42857142857142855,12.582946294573535
seq_85,10,0.264093884255034,41.90615453051664,0.9972722932373491,3.97,0.3333333333333333,10.888509843329919
seq_86,26,0.4574629681840972,92.28507190508351,0.977340423718293,4.2,0.48,11.276137945761862
seq_87,11,0.5521201685854146,48.99900240092863,0.9948283245640956,5.7,0.6,13.437259665059926
seq_88,9,0.5102475314997608,9.527606061042965,0.9826827028845003,3.39,0.0,10.27047762301058
seq_89,8,0.2792191878797725,7.701082943973212,0.9592362900766831,3.3,0.14285714285714285,10.277580016064572
seq_90,9,0.21473972442079983,27.87577804254627,0.9617991407195826,5.3,0.25,12.94353188036843
seq_91,13,0.7922617013710842,61.123068327287115,0.991159572508116,4.2,0.8333333333333334,11.204945438855198
seq_92,26,0.14153450572985288,99.99999999999999,0.9860566938466018,4.4,0.16,11.463549146207335
seq_93,8,0.3600018852991388,84.29130124851032,0.9999241245805771,4.8,0.42857142857142855,12.006962331006212
seq_94,76,0.37139959949642765,6.943327188822012,0.9843649369657085,4.0,0.4,11.535768817080642
seq_95,8,0.6285233913057909,28.903901955865102,0.976008070193308,5.2,0.7142857142857143,12.85668258645685
seq_96,11,0.1779480173766953,5.33337874382044,0.8155968318738739,5.4,0.1,13.154799605641077
seq_97,10,0.650530225232655,6.244181559876764,0.9619369011989995,3.3,0.4444444444444444,10.365247087964997
seq_98,22,0.3906677369639524,7.2748896882635234,0.9020673719322541,4.0,0.47619047619047616,11.288569846418643
seq_99,8,0.6036690972538752,6.059883736388696,0.9838263843624202,4.6,0.0,12.413486211856796
seq_100,12,0.7265275789155734,6.397305765361867,0.8783136730207609,3.61,0.8181818181818182,10.54413747703148
seq_101,32,0.17566159830803502,34.61450406511378,0.9493256381982147,4.1,0.1935483870967742,11.20753010029249
seq_102,9,0.20544566288606447,39.36581084549732,0.9498212604745984,4.5,0.25,11.709821763321859
seq_103,8,0.343184221679137,82.66762980071609,0.9998670503778034,4.6,0.42857142857142855,11.708780213193684
seq_104,9,0.38063502683630546,6.90751182172389,0.9694985257790073,2.9,0.375,9.67118823180837
seq_105,89,0.3107058924069476,99.99999999999999,0.9800159843030531,4.8,0.3181818181818182,12.15786869869061
seq_106,10,0.3781452209324175,46.20754651222318,0.9918979435356732,5.6,0.4444444444444444,13.293944952531152
seq_107,14,0.4965098734200724,8.874169929718487,0.9564895541083066,3.73,0.46153846153846156,10.732969714335434
seq_108,12,0.24074557470816357,8.306820307258972,0.9537439251811574,3.2,0.09090909090909091,10.188945896680638
seq_109,12,0.4259846600949306,7.317902539446211,0.9728762733530398,3.2,0.5454545454545454,10.084257874976272
seq_110,14,0.7068907754155661,9.725343278977755,0.9143882895235833,3.9,0.8461538461538461,10.876391556349223
seq_111,8,0.10929274968824626,53.79809319556349,0.9724190076094653,5.3,0.14285714285714285,12.870438465195871
seq_112,36,0.4887350793504951,5.509500443790074,0.9428421768278655,3.8,0.8285714285714286,11.076095911763577
seq_113,9,0.496743071254428,4.908554647909574,0.9093604654519654,3.3,0.25,10.232349861685256
seq_114,10,0.49852340165056286,7.9583867884914765,0.9419210320187572,3.48,0.6666666666666666,10.318076800968065
seq_115,10,0.5767350693992431,5.8390374336215185,0.9424444221274274,3.4,0.3333333333333333,10.508331496531161
seq_116,24,0.5895400605674912,3.593848690041951,0.7699599913831231,4.1,0.8695652173913043,11.357877104086397
seq_117,16,0.7399733386043921,6.86822703811035,0.8778188125084884,3.9,0.9333333333333333,11.159568782559623
seq_118,32,0.6932431188557894,18.1793838254983,0.9818081138774,4.2,0.6451612903225806,11.555717040062197
seq_119,8,0.5230852975872959,41.83999618605126,0.9997766900172828,4.2,0.5714285714285714,11.168813926979793
seq_120,8,0.14626560305649722,31.826582236204807,0.9981474762302129,4.3,0.2857142857142857,11.56088967179927
seq_121,13,0.4189891410491506,9.549442898446472,0.9802513905446276,3.32,0.5,10.248551800464263
seq_122,24,0.5572137383475998,6.336216244424997,0.9919085357227783,3.21,0.4782608695652174,10.52959318084997
seq_123,8,0.4805758240840612,11.790264713442122,0.9839214460540955,4.8,0.5714285714285714,12.350203672244604
seq_124,16,0.23268699960375833,99.99996355421102,0.998800203405376,5.8,0.26666666666666666,13.501550554895099
seq_125,9,0.544887687034463,99.99998318485139,0.999860095780867,6.4,0.625,14.406618262481429
seq_126,13,0.6328897400603883,4.552312357707532,0.8561390346365783,3.8,0.9166666666666666,10.825627148124758
seq_127,8,0.2685482578940118,5.792905013067487,0.9238705293775078,3.0,0.14285714285714285,9.750071749044773
seq_128,45,0.2958852802327793,15.757675777832251,0.9729448863601139,4.2,0.2727272727272727,11.58891916167894
seq_129,9,0.6389981932724716,3.762805680622342,0.8314851260012901,3.6,1.0,10.53610785992109
seq_130,14,0.7447569597423567,6.362039970760476,0.9245523545721885,3.3,0.9230769230769231,10.297194285337131
seq_131,17,0.19514388365156593,5.881692521307019,0.9059263688623178,3.5,0.0625,10.576698929160287
seq_132,8,0.5969862961866416,5.11818738383311,0.9452791194716482,3.4,0.0,10.146242125457732
seq_133,10,0.4361105497396349,9.835217657663327,0.9804113687543418,3.46,0.0,10.505461405336936
seq_134,8,0.3176607854073587,13.659785903093443,0.9752094032190496,5.2,0.42857142857142855,12.85731255374558
seq_135,2189,0.13604013033493909,99.99999999999999,0.965304887728637,7.1,0.1380255941499086,15.496416902980966
seq_136,8,0.5824375689844576,7.426156848972761,0.9821545604825965,3.02,0.0,9.908572198216541
seq_137,9,0.6739599323670225,6.093122246255719,0.969323704472372,3.2,1.0,10.143468168717153
