event,type,start,end,n_days,total_return_pct,baseline_surprise,mean_excess,sigma_final,sigma_range,epsilon_final,a_hat_sigma_t,sigmoid_k_sigma_t,sigmoid_r2_sigma_t,a_hat_epsilon_t,sigmoid_k_epsilon_t,sigmoid_r2_epsilon_t,hooke_r2,hooke_E,hooke_p,a_hat_sigma_eps,sigmoid_k_sigma_eps,sigmoid_r2_sigma_eps,surp_1st_half,surp_2nd_half,surp_acceleration,status
Calm_2012_4_GFC,calm,2012-04-15,2013-09-14,356,26.886406543542375,1.6040869900147254,-0.42947721328535204,-152.8938879295853,152.5740968503754,-24.086312968613516,0.010000000032557218,0.5000000000003139,0.0,0.010000163330125298,0.5000000007002281,0.0,0.9900643406224698,6.45687844003675,0.0,0.36539722581875067,3.3196168373721355,0.9943679133544736,-0.3508164702090069,-0.5081379563616973,-0.15732148615269043,OK
Calm_2013_4_GFC,calm,2013-04-15,2014-09-14,358,28.537527314661947,0.8526264945961839,0.16648599162894429,59.60198500316203,61.65299479831929,-6.08067492464459,0.28225639849482687,4.4349583378448925,0.9503648330728744,0.010000000000000769,0.5000000000000001,0.0,0.5241185504678804,-7.202410694622173,2.2902494709473812e-59,0.010000000000004852,0.5000000000000001,0.0,0.23723258681051052,0.09573939644737801,-0.14149319036313251,OK
Calm_2016_4_GFC,calm,2016-04-15,2017-09-14,358,23.311443097763384,1.3178665477236386,-0.44979317678098685,-161.02595728759326,160.40862541623932,-28.94245462467961,0.010000000000000002,0.5000000000000001,0.0,0.010000000000000024,0.5000000000000001,0.0,0.9760766487282758,5.7504082121976605,1.1520131741136623e-290,0.329255684967172,5.940713455685455,0.9840099008829916,-0.2913722324333044,-0.6082141211286692,-0.31684188869536484,OK
Calm_2023_4_GFC,calm,2023-04-15,2024-09-13,356,38.677217051715985,1.5295590494290061,-0.3797126996641621,-135.17772108044161,138.83619935981875,-32.9936258631525,0.010000000000322674,0.5000000000000008,0.0,0.010000000000335739,0.5000000000000001,0.0,0.9847984633159113,4.305379285230509,0.0,0.4926249410216608,2.285060931613532,0.9915511043528178,-0.3947737016411548,-0.3646516976871692,0.030122003953985566,OK
Calm_2003_4_COVI,calm,2003-04-15,2003-05-18,23,6.655367819841329,1.71153979355888,-0.2946025931449264,-6.775859642333307,6.92040547857576,0.45639099490814994,0.010000000000000002,0.5000000000000001,0.0,0.49532207421421615,1.9158017631119366,0.9905926544410553,0.9003263246330183,-16.575062549003768,5.51428290618551e-12,0.010000000000000002,0.5000000000000001,0.0,-0.1154083024825791,-0.458864026252078,-0.3434557237694989,OK
Calm_2004_4_COVI,calm,2004-04-15,2004-05-18,24,-3.2983406479288435,0.8795954311754001,0.44805493230441656,10.753318375305998,10.825605030667777,0.2269688041548844,0.37639235341558386,2.473453719779489,0.9696302119438415,0.749557034089448,7.718123052672835,0.9911310858606384,0.7810512165012138,35.61049462266979,1.0429873869288634e-08,0.6028357865879805,12.896849086231391,0.829057031698669,0.4863336655491819,0.40977619905965135,-0.07655746648953055,OK
Calm_2005_4_COVI,calm,2005-04-15,2005-05-18,24,2.6087049335978385,0.8100544678791244,0.5096976162219699,12.232742789327276,10.780896782435056,0.5786187761191282,0.18294880622906853,3.6180390026126794,0.9774488813481169,0.44035613533792695,2.4734571862236154,0.9974330314193331,0.9510514186017796,17.805323866543382,6.651316459023767e-16,0.18294880622906853,3.6180390026126794,0.9774488813481169,0.7017606578314162,0.3176345746125235,-0.3841260832188927,OK
Calm_2006_4_COVI,calm,2006-04-15,2006-05-18,24,-1.942356142278412,0.7500326954432696,0.3913433489017571,9.39224037364217,9.660635783822128,0.036884723986248646,0.9461122241867679,10.200501118402514,0.9115104218117047,0.09220794636163458,30.12527136149763,0.17203044261048972,0.25522478852511504,-27.895235109224657,0.011799256909307576,0.9899999999999141,0.5000000000003656,0.0,0.1990865767751087,0.5836001210284056,0.384513544253297,OK
Calm_2007_4_COVI,calm,2007-04-15,2007-05-18,25,5.023402865114157,0.6306643692627798,0.20469560425880293,5.117390106470073,4.626609596529981,2.303089027001225,0.8424246660362176,2.2465923717380947,0.9203235260114726,0.5232457237590887,2.113491777303954,0.9993336313810361,0.9151736809528049,1.9600149387768442,8.1679043920784e-14,0.8424246660362176,2.2465923717380947,0.9203235260114726,0.20979136688764632,0.19999182337063975,-0.00979954351700657,OK
Calm_2009_10_COVI,calm,2009-10-15,2009-11-17,24,1.8571334653252114,1.7293178371320908,-0.10324208191013047,-2.4778099658431314,4.084266754198285,-0.2582546988889193,0.43643656470866704,199.9999999999836,0.4395913884108986,0.9899999855835027,0.5000000000090898,0.0,0.0404230808254364,-2.545907277073996,0.34616636446483445,0.010000000007525378,0.5000000000000001,0.0,0.014261978693472344,-0.22074614251373328,-0.23500812120720563,OK
