specimen_id	outcome	a_hat_paper	n_points	logistic_aic	logistic_bic	logistic_r2	logistic_inflection	logistic_success	gompertz_aic	gompertz_bic	gompertz_r2	gompertz_inflection	gompertz_success	weibull_aic	weibull_bic	weibull_r2	weibull_inflection	weibull_success	hill_aic	hill_bic	hill_r2	hill_inflection	hill_success
P_300_G_3_178_172_13	93.3965926463887		419	-1686.1433108048464	-1678.067568965002	0.9883733103656686	0.10140017447663913	True	-2097.2518240012987	-2089.1760821614544	0.9956414589352649	0.07238965192245798	True	-2072.6176280603	-2064.5418862204556	0.9953775252881827	0.04265223651890176	True	-1914.7503217027875	-1906.6745798629431	0.9932624131424524	0.05525581915770159	True
P_300_H_1_180_157_16	101.923633367416		500	-2102.6387681854285	-2094.2095519885843	0.9918192575827106	0.1691806980004349	True	-3061.030629038202	-3052.6014128413576	0.9987967825406748	0.12891409711073765	True	-2830.433172209064	-2822.00395601222	0.9980917356750716	0.11855928521193054	True	-2578.727782887358	-2570.298566690514	0.9968430547179874	0.1158608788675122	True
P_300_H_2_181_153_17	101.6799237802		497	-1931.90467467287	-1923.4874946206767	0.9860853450418934	0.15050717952120063	True	-2422.6425931515364	-2414.2254130993433	0.9948161793589753	0.10815362574331765	True	-2380.156795180239	-2371.739615128046	0.9943535509387528	0.07371281439748359	True	-2001.375694679245	-1992.9585146270517	0.9879005272906629	0.09049854397823431	True
P_300_H_3_182_148_19	92.3451932319252		500	-1614.8958004186302	-1606.4665842217858	0.9745980933921615	0.05717984042054514	True	-1930.0959803213518	-1921.6667641245074	0.9864765681332398	0.03610165281456064	True	-2331.82421603363	-2323.3949998367857	0.9939444972550464		True	-1803.6608235538245	-1795.23160735698	0.982585656804444	0.013852147658227796	True
P_300_I_1_184_184_09	93.4379961730759		170	-593.7565771598184	-587.4849802857179	0.9795466786620747	0.049448015808280885	True	-743.451416343241	-737.1798194691405	0.9915210433611358	0.03274057250325761	True	-1004.0459405030889	-997.7743436289884	0.998169336556255	0.0038740287022155447	True	-840.4636096710836	-834.1920127969831	0.995208097838228	0.017884177537984734	True
P_300_I_2_185_163_17	92.722411769194		500	-1960.87885952143	-1952.4496433245856	0.9864567127806917	0.0587889995907873	True	-2302.8586412433206	-2294.4294250464764	0.9931658544392761	0.040900474552040975	True	-2309.1874609560946	-2300.7582447592504	0.993251813422992	0.018602977949547423	True	-2125.4451939808987	-2117.0159777840545	0.9902549608783954	0.0279072140550313	True
P_300_I_3_186_155_18	90.0642328248531		500	-2128.023934059082	-2119.5947178622378	0.992314987516469	0.11504487959702793	True	-3006.6255800324448	-2998.1963638356006	0.9986741301833639	0.08234817566939596	True	-3031.358443048672	-3022.929226851828	0.9987381196075835	0.056209027561297045	True	-2041.0236123466707	-2032.5943961498263	0.9908544022360721	0.06543912294907402	True
T_020_A_1_001_022_03	277.080919182671		496	-1734.123273302784	-1725.710121449334	0.9704449710065366	0.025587349162029496	True	-1852.2112083902625	-1843.7980565368127	0.9767065221453145	0.017485130903361148	True	-1927.8534974999259	-1919.440345646476	0.9800012697138455	0.00023681817472669846	True	-2226.2853428754443	-2217.8721910219942	0.9890428558398711	0.005866850990798879	True
T_020_A_2_002_024_04	277.834142238505		497	-1773.1968146646739	-1764.7796346124805	0.9636385299001774	0.028834605283675804	True	-1842.6992029427856	-1834.2820228905923	0.9683839197230488	0.020157917356139768	True	-1856.1612824310077	-1847.7441023788144	0.9692288001834836	0.006370294951447631	True	-2162.8761040905415	-2154.4589240383484	0.9833992687816765	0.008845124216803984	True
T_020_A_3_003_025_05	280.209188306993		487	-1725.3317894785703	-1716.955261232405	0.9585206381703609	0.0224364053921657	True	-1799.379362383434	-1791.0028341372688	0.9643714389138054	0.01417070210596583	True	-1884.829243012067	-1876.4527147659019	0.9701051618998235		True	-2158.334299629706	-2149.957771383541	0.9829513026202905	0.0028269201072386387	True
T_020_B_1_004_059_01	273.200295913472		500	-1666.1813986699751	-1657.7521824731307	0.9718854640810667	0.03560332994460877	True	-1757.4869349912708	-1749.0577187944264	0.9765780020888616	0.027195635199258376	True	-1745.9712913375288	-1737.5420751406843	0.9760323033752241	0.02373888107314302	True	-1971.2339176405135	-1962.804701443669	0.9847255469561844	0.018892452432403253	True
T_020_B_2_005_061_02	267.412779741201		480	-1517.0265997830543	-1508.6790275752503	0.9511144596050154	0.030953022675888255	True	-1570.6893189231687	-1562.3417467153647	0.9562853046428772	0.022508724417743153	True	-1573.4057833310176	-1565.0582111232136	0.9565320005338981	0.011505983425323222	True	-1887.453877481433	-1879.106305273629	0.9774043330480864	0.009923273410228606	True
T_020_B_3_006_063_03	265.627730964216		485	-1623.6837418874893	-1615.3154441056142	0.9694559823487577	0.028353795307466213	True	-1707.1467211523136	-1698.7784233704385	0.9742848521740421	0.020145145743635066	True	-1719.297462208941	-1710.9291644270659	0.9749210925179442	0.009505990773330837	True	-1945.0528805723652	-1936.6845827904901	0.9842545400891979	0.009299917085317501	True
